Without the weight belt, you struggle to stay down.	沒有配重腰帶，你很難待在水下。
Exhausted from the effort, you decide to surface.	你因努力而疲憊，決定浮上水面。
You can't talk NOW!	你現在不能說話！
Taking off your scuba equipment is not a good idea.	脫掉水肺裝備不是好主意。
Along with the junk, you see an old car on the bottom. There are huge boulders on the far side.	除了垃圾，你還看見河底有一輛老車。遠處有巨大的巨石。
You see sunlight rippling through from the surface.	你看見陽光從水面透入，形成波紋。
You find an old discarded wallet. Endless volumes of water have rendered it worthless.	你找到一個丟棄的舊錢包。大量河水早已讓它毫無價值。
Its just a waterlogged piece of paper.	只是一張泡水的紙。
The old car has been sitting here rusting away for a long time now.	這輛老車已經停在這裡生鏽很久了。
You see a flicker of gold from the corner of your eye.	你從眼角瞥見一閃金光。
You are amazed at what you think this object could be.	你驚訝地猜想這個物品可能是什麼。
Nothing but a rusted-out old beer can. You can tell it's an oldie by the fact that someone had to use a 'church key' on it. No 'pop-tops' in those days.	只是一個鏽蝕的老啤酒罐。從有人必須用「教堂鑰匙」開罐，就知道它年代久遠。那時還沒有「拉環」。
It's metal, but you can't make out what it is.	是金屬，但你辨認不出它是什麼。
It's a pair of algae-covered underwater goggles, lost by a swimmer in the murky past.	這是一副覆滿藻類的水下護目鏡，不知哪位游泳者在久遠以前遺失的。
There's a bald truck tire nestled deep in the mud next to a 55-gallon oil drum.	一個磨平胎紋的卡車輪胎深陷泥中，旁邊是一個 55 加侖油桶。
There is a lot of mud and trash on the river bottom. You will have to search it for clues or evidence.	河底有大量泥土和垃圾。你必須搜索其中的線索或證物。
You can't see it clearly from where you are. As a matter of fact, you have to be pretty close to see most objects underwater.	你從這裡看不清楚。事實上，水下大多數物品都必須靠得很近才能看見。
The numbers have rusted and deteriorated to the point that you can't make them out.	數字已鏽蝕、劣化到無法辨認。
It's just a twisted scrap of metal, useless to you.	只是一塊扭曲的金屬碎片，對你沒用。
Although it looks like there's a cave, there really isn't.	雖然看起來像有個洞穴，其實並沒有。
You see nothing unusual. In fact, these rocks are downright boring.	你看不出任何異常。事實上，這些石頭無聊透頂。
A common variety of river bottom plant.	常見的河底植物。
You look at a small school of "scaly-skinned" sucker fish, otherwise known as "carp". They are incompatible with the gullet, due to the numerous amount of bones.	你看著一小群「鱗皮」吸口魚，也就是俗稱的「鯉魚」。牠們骨頭太多，不適合入口。
Man, can they scuttle!	天啊，牠們跑得真快！
He's exploring the flora, fauna, and garbage....looking for evidence.	他正在探索植物、動物和垃圾……尋找證物。
