The buildings are old, rusted, metal warehouses.	這些建築是老舊、生鏽的金屬倉庫。
The chain link fence encloses "Vu's Warehouse."	鐵絲網圍住「吳氏倉庫」。
The hole was created when Vu backed his car into it.	這個破洞是吳倒車撞上去造成的。
There's blood under the car.	車子底下有血。
What blood?	什麼血？
No body is around.	附近沒有屍體。
The sign says: "NO PARKING From 8pm to 6am"	告示牌寫著：「晚上 8 點至早上 6 點禁止停車」
Looking over the scene, in this run-down area of Lytton, you see Officer Mario Gelepsi and a car with its trunk open.	你查看萊頓這片破敗地區的現場，看見馬里奧．傑列普西警官和一輛後車廂打開的車。
This is the old warehouse district. The down and out frequent these dirty streets. Small-time hoods and drug dealers often use the nearby "dives" to conduct their "business".	這裡是老倉庫區。落魄之人經常出沒於骯髒的街道；小混混和毒販常利用附近的「破店」進行他們的「生意」。
A bum across the street shouts back: "H'lo!"	街對面的流浪漢喊回來：「嗨！」
You don't need to jump into the trunk to conduct your investigation.	你不必跳進後車廂進行調查。
Mario already checked and found the car to be registered in the name of Woody Roberts.	馬里奧已經查過，發現這輛車登記在伍迪．羅伯茲名下。
You don't need to do that.	你不需要那麼做。
You'd rip your clothes if you tried that.	你那樣做會把衣服撕破。
Don't climb that. You'd look silly.	別爬那個。看起來會很可笑。
Use the car radio for that.	用車上的無線電做那件事。
You're too big.	你太高大了。
The action is on your side of the fence.	事情發生在鐵絲網你這一側。
That's a job for the coroner. You'd better wait.	那是法醫的工作。你最好等一等。
The body's already been removed from the trunk.	屍體已經從後車廂移走了。
What body?	什麼屍體？
The trunk of the green car is already open.	綠色轎車的後車廂已經打開。
The trunk's already open.	後車廂已經打開。
After carefull consideration, you wisely decide not to close the trunk. It would make your investigation more difficult.	仔細考量後，你明智地決定不關上後車廂。那會讓調查更加困難。
"Here comes the 'meat wagon', Sonny," Keith anounces from inside the car.	「『肉車』來了，桑尼。」基斯在車內宣布。
